Network,Catchment,Site_name,Site,Platform,Latitude,Longitude,Date_installed
FDRI,Severn,Carreg Wen,SE-CARWE-01,WS,52.48277697,-3.72671814,23-06-2025 12:00:00
FDRI,Severn,Severn Trap (Hafren Forest),SE-HAFRF-07,TF,52.47060072,-3.69043706,19-05-2025 17:00:00
