TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID,NETWORK_ID
NEUTRON_CTS_1HOUR_RAW,Neutron counts,NEUTRON_COUNT,RAW,PT1H,PT1H,CTS_MIN-1,MEAN_PROC,NMDB
NEUTRON_CTS_1HOUR_PROCESSED,Neutron counts processed,NEUTRON_COUNT,PROCESSED,PT1H,PT1H,CTS_MIN-1,MEAN_PROC,NMDB
