dataset,site,start_time,end_time
COSMOS_STATUS_1HOUR_2024_LOOPED,NWYKE,2024-01-01 00:02:26.29,2024-08-09 06:02:25.99
COSMOS_STATUS_1HOUR_2024_LOOPED,ALIC1,2024-01-01 00:00:01.26,2024-10-01 10:03:23.36
LIVE_PRECIP_RAINE_1MIN,FINCH,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,SOURH,2025-01-28 23:30:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,COCLP,2024-01-01 00:02:32.59,2024-07-31 17:02:26.64
LIVE_SOILMET_30MIN,HLACY,2025-01-27 19:00:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,CHIMN,2024-04-04 00:02:27.44,2024-07-29 13:02:26.38
LIVE_PRECIP_RAINE_1MIN,LIZRD,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,ELMST,2024-01-01 00:02:25.79,2024-08-09 09:02:25.67
COSMOS_STATUS_1HOUR_2024_LOOPED,BUNNY,2024-01-01 00:03:23.02,2024-08-09 00:04:21.76
COSMOS_STATUS_1HOUR_2024_LOOPED,GISBN,2024-04-04 00:02:23.26,2024-10-06 20:02:23.28
LIVE_PRECIP_1MIN,WIMPL,2025-01-29 01:36:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,BICKL,2023-10-02 11:02:26.17,2024-08-09 21:03:23.07
COSMOS_STATUS_1HOUR_2024_LOOPED,EUSTN,2024-01-01 00:02:26.24,2024-08-09 05:04:22.23
LIVE_PRECIP_1MIN,EUSTN,2025-01-27 19:41:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,FINCH,2024-01-01 00:03:23.03,2024-08-09 07:03:21.76
LIVE_SOILMET_30MIN,MOREM,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,CGARW,2025-01-27 19:41:00,2026-03-02 16:03:00
LIVE_SOILMET_30MIN,CHIMN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_RAINE_1MIN,SOURH,2025-01-29 00:55:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,RISEH,2024-01-01 00:03:25.46,2024-08-23 11:09:22.22
LIVE_PRECIP_RAINE_1MIN,CHOBH,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HENFS,2024-01-01 11:02:23.17,2024-09-19 04:14:22.52
LIVE_SOILMET_30MIN,ALIC1,2025-01-27 22:00:00,2026-03-03 08:00:00
LIVE_PRECIP_RAINE_1MIN,FIVET,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,ROTHD,2024-04-04 00:02:26.18,2024-08-09 16:02:25.83
COSMOS_STATUS_1HOUR_2024_LOOPED,GLENS,2024-01-01 00:02:25.84,2024-08-09 09:03:23.31
COSMOS_STATUS_1HOUR_2024_LOOPED,SOURH,2024-01-01 09:02:38.73,2024-10-17 15:03:27.38
LIVE_PRECIP_1MIN,FINCH,2025-01-27 19:41:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,EASTB,2024-01-01 00:02:26.34,2024-08-09 07:02:26.69
COSMOS_STATUS_1HOUR_2024_LOOPED,CGARW,2023-10-02 11:02:23.06,2024-09-09 03:02:26.37
COSMOS_STATUS_1HOUR_2024_LOOPED,SHEEP,2024-01-01 10:02:27.18,2024-08-01 21:04:22.42
LIVE_PRECIP_1MIN,COCLP,2025-01-27 19:41:00,2026-03-03 08:04:00
LIVE_SOILMET_30MIN,ROTHD,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,HILLB,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,TEST1,2025-01-29 01:36:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,MOORH,2024-04-04 00:02:26.33,2024-08-18 03:03:23.26
LIVE_PRECIP_RAINE_1MIN,EASTB,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_NMDB_1HOUR,JUNG,2025-01-27 19:00:00,2026-03-03 09:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,FIVET,2024-01-01 00:02:29.52,2024-08-09 08:03:22.66
COSMOS_STATUS_1HOUR_2024_LOOPED,TADHM,2024-01-01 00:02:26.12,2024-08-08 07:02:25.42
LIVE_PRECIP_1MIN,CHOBH,2025-01-27 19:41:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,WRTTL,2024-01-01 00:02:24.47,2024-08-19 18:05:23.14
COSMOS_STATUS_1HOUR_2024_LOOPED,CARDT,2024-04-04 00:02:24.97,2024-09-26 02:02:26.26
LIVE_PRECIP_1MIN,SYDLG,2025-01-27 19:41:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HADLW,2024-01-01 00:02:23.71,2024-08-08 14:02:23.49
LIVE_SOILMET_30MIN,WADDN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,CARDT,2025-01-27 19:41:00,2025-02-11 11:02:00
LIVE_PRECIP_RAINE_1MIN,HYBRY,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HILLB,2024-01-01 00:02:24.37,2024-07-09 06:03:23.14
COSMOS_STATUS_1HOUR_2024_LOOPED,HLACY,2024-01-01 00:02:26.11,2024-08-09 01:03:22.36
LIVE_SOILMET_30MIN,FIVET,2025-01-27 19:00:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,LULLN,2024-01-01 00:02:26.84,2024-08-08 05:02:24.59
COSMOS_STATUS_1HOUR_2024_LOOPED,LODTN,2024-01-01 00:02:26.62,2024-07-23 02:04:22.88
LIVE_PRECIP_1MIN,ROTHD,2025-01-27 19:41:00,2026-03-03 08:03:00
