NRFA_ID,RIVER,LOCATION,NAME,COUNTRY_CODE,EASTING,NORTHING,CATCHMENT_AREA,ALTITUDE,LATITUDE,LONGITUDE,OPERATOR_ID,ORGANISATION_ID,OPERATOR_STATION_ID,TEXT_GENERAL,IsPrivate
5003,Glass,Kerrow Wood,Glass at Kerrow Wood,GB-GBN,235449,832076,481.8,52.9,57.349376267649795,-4.736427946,SEPA-NW,SEPA,234251,Velocity area station 50m wide with gravel control.
5004,Glass,Fasnakyle,Glass at Fasnakyle,GB-GBN,231526,828751,277.5,80,57.31811086484539,-4.799267449,SEPA-NW,SEPA,234215,Velocity area station 30m wide with gravel control.
5802,Farrar,Loch Beannacharain,Farrar at Loch Beannacharain,GB-GBN,233000,839600,243.5,102,57.415991372628966,-4.78218734,SEPA-NW,SEPA,,
6001,Ness,Ness Castle Farm,Ness at Ness Castle Farm,GB-GBN,263900,841000,1792.3,9.1,57.43886316551899,-4.268994432,NSHE,NSHE,,Velocity area station 3 km south-west of Inverness. Station superseded in 1963 by d/s 6007 (area difference ~ 27 km2).
6002,Foyers,Near Foyers,Foyers at Near Foyers,GB-GBN,249800,820000,277.13,420,57.24596008422086,-4.49084935,NSHE,NSHE,,
6003,Moriston,Invermoriston,Moriston at Invermoriston,GB-GBN,241600,816900,391,35.1,57.21537659086071,-4.624608567,NSHE,NSHE,,Velocity area station. Station closed in 1945.
6004,Garry,Invergarry,Garry at Invergarry,GB-GBN,231600,801100,386,33.5,57.07004524931813,-4.779328025,RFR,RFR,,Velocity area station closed in 1944.
6005,Ness,Dochfour,Ness at Dochfour,GB-GBN,261200,839600,,,57.42548040941744,-4.313140057,NSHE,NSHE,,
6006,Allt Bhlaraidh,Invermoriston,Allt Bhlaraidh at Invermoriston,GB-GBN,237700,816800,27.5,107,57.21311389199681,-4.689043953,NSHE,NSHE,,Compound weir. Station ceased 1962.
6007,Ness,Ness-side,Ness at Ness-side,GB-GBN,264507,842726,1839.1,6.9,57.45453658632078,-4.259846862,SEPA-NW,SEPA,234287,Velocity area station 80m wide. Station added to peak flows dataset in August 2025 (WINFAP Files v14).
6008,Enrick,Mill of Tore,Enrick at Mill of Tore,GB-GBN,245044,829976,105.9,109.4,57.33389583590499,-4.575831221,SEPA-NW,SEPA,234277,Velocity area station; 15m wide river section.
6009,Moriston,Levishie,Moriston at Levishie,GB-GBN,240218,817473,403.1,41.7,57.22003824358326,-4.647834125,SEPA-NW,SEPA,234262,Velocity area station; 40m wide with gravel and boulder control. Flood warning station. Station closed during 2011.
6010,Garry,Craigard,Garry at Craigard,GB-GBN,228985,800709,399,49.3,57.06557357104955,-4.822135967,SEPA-NW,SEPA,234189,Velocity area station; 40m wide with gravel and boulder control. Flood warning station. Station closed during 2011.
6011,Tarff,Ardachy Bridge,Tarff at Ardachy Bridge,GB-GBN,237989,807473,75.9,33.1,57.12952379994588,-4.678201018,SEPA-NW,SEPA,234155,Velocity area station 25m wide; bedrock and boulder control.
6012,Enrick,White Bridge,Enrick at White Bridge,GB-GBN,239190,830158,56.2,144.1,57.33350179194762,-4.673080304,SEPA-NW,SEPA,355980,Open channel section with gravel control. Station added to peak flows dataset in October 2018 (WINFAP Files v7).
6013,Mill Burn,Dirriebught House,Mill Burn at Dirriebught House,GB-GBN,267753,845238,9.22,11.2,57.47804171542415,-4.207153086,SEPA-NW,SEPA,234200,Open channel section 2-3m wide with weir control.
6804,Loch Ness,Abbey Fort Augustus,Loch Ness at Abbey Fort Augustus,GB-GBN,238200,809200,,,57.145094904813334,-4.675838226,,,,
6805,Loch Garry,Loch Garry,Loch Garry at Loch Garry,GB-GBN,227600,802300,,,57.07933182443123,-4.846040002,,,,
6806,Loch Quoich,Loch Quoich,Loch Quoich at Loch Quoich,GB-GBN,233000,803000,,,57.08760315524274,-4.757531604,,,,
6807,Loch Quoich,Glenquoich Lodge,Loch Quoich at Glenquoich Lodge,GB-GBN,203500,802500,128.2,,57.071473239411276,-5.243140077,,,,
6808,Allt Graidhe,Fort Augustus,Allt Graidhe at Fort Augustus,GB-GBN,234800,807300,2.7,45,57.12683609941104,-4.730704384,SEPA-NW,SEPA,,Secondary gauging station.
6809,Allt Bhuruisgidh,Ceannacroc,Allt Bhuruisgidh at Ceannacroc,GB-GBN,221800,812900,11.2,232,57.172217999217324,-4.949148398,SEPA-NW,SEPA,,Secondary gauging station. Station closed.
7001,Findhorn,Shenachie,Findhorn at Shenachie,GB-GBN,282558,833548,415.6,252.4,57.37717427424689,-3.954818375,SEPA-NW,SEPA,234306,"Velocity area station; ; 50m wide river section. Prior to January 1978, station located 700m u/s and cableway 500m d/s of present site; spot gauging info for this site not available - hence less confidence in this period. Catchment nested within that of 7002."
7002,Findhorn,Forres,Findhorn at Forres,GB-GBN,301853,858387,781.9,9.6,57.60477144,-3.644084974,SEPA-NW,SEPA,234221,Velocity area station; 50m wide river section.
7003,Lossie,Sheriffmills,Lossie at Sheriffmills,GB-GBN,319402,862632,216,17.7,57.64636932,-3.351933197,SEPA-NW,SEPA,234307,"Velocity area station; about 23m wide section. Flood warning station. Levels recorded from 20/06/58, Gaugings from 01/10/63. Station was moved upstream by 150m from 08/09/78. Old site had no bypassing problems (peak flow record is good) and had a stable rating."
7004,Nairn,Firhall,Nairn at Firhall,GB-GBN,288238,855059,313,7.2,57.57172583185657,-3.870258197,SEPA-NW,SEPA,234218,"Velocity area station, 20m wide."
7005,Divie,Dunphail,Divie at Dunphail,GB-GBN,300541,848032,165,117.3,57.5115103,-3.661788591,SEPA-NW,SEPA,234206,Velocity area station 15m wide.
7006,Lossie,Torwinny,Lossie at Torwinny,GB-GBN,313442,848903,20,198.5,57.52198311881098,-3.446843607,SEPA-NW,SEPA,234326,"Velocity area station, about 4m wide. Flood warning station. Removed from peak flows dataset in October 2018 (WINFAP Files v7)."
7007,Black Burn,Monaughty,Black Burn at Monaughty,GB-GBN,315474,858170,44,49,57.60558202199269,-3.416156654,SEPA-NW,SEPA,234281,Velocity area station constructed approx 250m u/s of road bridge in 1999. Control is an old weir. Flood warning station. Station closed during 2012.
7008,Nairn,Balnafoich,Nairn at Balnafoich,GB-GBN,268563,835166,128.1,175,57.38787076034544,-4.188250627,SEPA-NW,SEPA,206846,Velocity area station; 10m wide with new concrete bridge invert control. Station added to peak flows dataset in October 2018 (WINFAP Files v7).
7009,Mosset Burn,Wardend Bridge,Mosset Burn at Wardend Bridge,GB-GBN,303930,855845,28.3,45,57.58239452831248,-3.608335456,SEPA-NW,SEPA,234331,Velocity area station used as flood warning station for the town of Forres (3 km d/s); Mosset Burn lies between Findhorn and Lossie and enters the sea at Findhorn Bay. Station added to peak flows dataset in August 2024 (WINFAP Files v13).
7010,Muckle Burn,Brodie,Muckle Burn at Brodie,GB-GBN,297947,857111,80.68,22.3,57.59244807170758,-3.708879044,SEPA-NW,SEPA,234173,Open channel section 8m wide with gravel control. Station added to peak flows dataset in October 2018 (WINFAP Files v7).
7011,Black Burn,Pluscarden Abbey,Black Burn at Pluscarden Abbey,GB-GBN,314443,857510,36.37,53.9,57.59946105690977,-3.433170479,SEPA-NW,SEPA,486057,Open channel section with gravel control. Station added to peak flows dataset in October 2018 (WINFAP Files v7).
7012,Lossie,Ballachraggan,Lossie at Ballachraggan,GB-GBN,313174,849606,31.6,,57.52824439932163,-3.45156742,SEPA-NW,SEPA,516803,"Velocity area station, opened to replace Torwinny gauging station (7006). Station added to peak flows dataset in August 2024 (WINFAP Files v13)."
7803,Divie,Beachans,Divie at Beachans,GB-GBN,302500,846100,,,57.494589402783625,-3.628331934,SEPA-NW,SEPA,,
7804,Mosset Burn,Burdshaugh,Mosset Burn at Burdshaugh,GB-GBN,303700,858200,46,17,57.60349060554843,-3.613116383,SEPA-NW,SEPA,,
8001,Spey,Aberlour,Spey at Aberlour,GB-GBN,327785,843972,2654.7,78.6,57.48021803750891,-3.20597515,SEPA-NW,SEPA,234150,Velocity area station about 45 m wide. Removed from peak flows dataset in September 2019 (WINFAP Files v8).
8002,Spey,Kinrara,Spey at Kinrara,GB-GBN,288099,808201,1011.7,210.4,57.15100242446791,-3.85126692,SEPA-NW,SEPA,234257,Velocity area station about 50m wide. Station is 5km d/s of confluence with the River Feshie.
8003,Spey,Ruthven Bridge,Spey at Ruthven Bridge,GB-GBN,275900,799600,533.8,221,57.07065239632335,-4.048499162,SEPA-NW,SEPA,,Velocity area station with some of the catchment controlled for HEP. Station closed 1973.
8004,Avon,Delnashaugh,Avon at Delnashaugh,GB-GBN,318548,835197,542.8,156,57.39985122,-3.357051611,SEPA-NW,SEPA,234198,"Velocity area station with cableway. Station control washed away during August 2014 spate, as a result station relocated 20m upstream on 21/05/2016."
8005,Spey,Boat of Garten,Spey at Boat of Garten,GB-GBN,294691,819208,1267.8,197.3,57.25139174220633,-3.74702871,SEPA-NW,SEPA,234168,Velocity area station. Station re-located d/s of road bridge.
8006,Spey,Boat o Brig,Spey at Boat o Brig,GB-GBN,331850,851788,2861.2,43.1,57.55104113816047,-3.140388046,SEPA-NW,SEPA,234167,Velocity area station 65m wide. Cableway rated. Lowest station currently operating on the Spey.
8007,Spey,Invertruim,Spey at Invertruim,GB-GBN,268761,796425,400.4,242.5,57.04017176150634,-4.164494821,SEPA-NW,SEPA,234248,"Velocity area station, 45m wide Cableway rated. Highest station on the Spey. Station re-built in May 2000."
8008,Tromie,Tromie Bridge,Tromie at Tromie Bridge,GB-GBN,278926,799629,130.3,240,57.071718491281196,-3.998638201,SEPA-NW,SEPA,234327,"Velocity area station, about 15m wide. Cableway rated. Station closed in 2010. No significant catchment changes."
8009,Dulnain,Balnaan Bridge,Dulnain at Balnaan Bridge,GB-GBN,297722,824763,272.2,223.7,57.30195759205744,-3.699115381,SEPA-NW,SEPA,234163,Velocity area station about 22m wide. Flood warning station.
8010,Spey,Grantown,Spey at Grantown,GB-GBN,303282,826785,1748.8,192.5,57.32132619956175,-3.607673061,SEPA-NW,SEPA,234229,Velocity area station about 60m wide.
