ID,PARENT_ID,PARAMETER_ID,UNIT_ID,STATISTIC_ID,PERIODICITY,RESOLUTION,DESCRIPTION
LWOUT-TOTAL_PREC-MJM-2-D-P1D-P1D,,LWOUT,MJM-2-D,TOTAL_PREC,P1D,P1D,Total outgoing longwave radiation over preceding day in megajoules per metre squared
LWOUT_UNC-MEAN_PREC-WM-2-PT30M-PT30M,,LWOUT_UNC,WM-2,MEAN_PREC,PT30M,PT30M,Mean outgoing longwave radiation uncertainty over preceding 30 minutes in watts per metre squared (uncorrected)
LWOUT_UNC-STDDEV_PREC-WM-2-PT30M-PT30M,,LWOUT_UNC_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of outgoing longwave radiation uncertainty over preceding 30 minutes in watts per metre squared (uncorrected)
LWOUT_MULT-INST-UNITLESS-PT30M-PT30M,,LWOUT_MULT,UNITLESS,INST,PT30M,PT30M,Instantaneous outgoing longwave radiation calibration factor (unitless)
MEASURE_PERIOD-TOTAL_PREC-SEC-PT30M-PT30M,,MEASURE_PERIOD,SEC,TOTAL_PREC,PT30M,PT30M,Total measurement period over preceding 30 minutes in seconds
NAN_COUNT-TOTAL_PREC-UNITLESS-PT30M-PT30M,,NAN_COUNT,UNITLESS,TOTAL_PREC,PT30M,PT30M,Total NaN count over the preceding 30 minutes
NEUTRON_COUNT-TOTAL_PREC-CTS-P1D-P1D,,NEUTRON_COUNT,CTS,TOTAL_PREC,P1D,P1D,Total neutron count over the preceding day
NEUTRON_COUNT-TOTAL_PREC-CTS-PT1H-PT1H,,NEUTRON_COUNT,CTS,TOTAL_PREC,PT1H,PT1H,Total neutron count over the preceding hour
NEUTRON_COUNT-TOTAL_PREC-CTS-PT30M-PT30M,,NEUTRON_COUNT,CTS,TOTAL_PREC,PT30M,PT30M,Total neutron count over the preceding 30 minutes
NEUTRON_COUNT_COR-TOTAL_PREC-CTS-P1D-P1D,,NEUTRON_COUNT_COR,CTS,TOTAL_PREC,P1D,P1D,Total corrected neutron count over the preceding day
NEUTRON_COUNT_COR-TOTAL_PREC-CTS-PT1H-PT1H,,NEUTRON_COUNT_COR,CTS,TOTAL_PREC,PT1H,PT1H,Total corrected neutron count over the preceding hour
NEUTRON_COUNT_EST-TOTAL_PREC-CTS-P1D-P1D,,NEUTRON_COUNT_EST,CTS,TOTAL_PREC,P1D,P1D,Total estimated neutron count over the preceding day
NEUTRON_COUNT_EST-TOTAL_PREC-CTS-PT1H-PT1H,,NEUTRON_COUNT_EST,CTS,TOTAL_PREC,PT1H,PT1H,Total estimated neutron count over the preceding hour
NEUTRON_COUNT_SMO-TOTAL_PREC-CTS-PT1H-PT1H,,NEUTRON_COUNT_SMO,CTS,TOTAL_PREC,PT1H,PT1H,Total smoothed neutron count over the preceding hour
PA-MEAN_PREC-HPA-P1D-P1D,,PA,HPA,MEAN_PREC,P1D,P1D,Mean atmospheric pressure over the preceding day in hectopascals
PA-MEAN_PREC-HPA-PT1H-PT1H,,PA,HPA,MEAN_PREC,PT1H,PT1H,Mean atmospheric pressure over the preceding hour in hectopascals
PA-MEAN_PREC-HPA-PT30M-PT30M,,PA,HPA,MEAN_PREC,PT30M,PT30M,Mean atmospheric pressure over the preceding 30 minutes in hectopascals
PA-STDDEV_PREC-HPA-PT30M-PT30M,,PA_STD,HPA,STDDEV_PREC,PT30M,PT30M,Standard deviation of atmospheric pressure over the preceding 30 minutes in hectopascals
PE-TOTAL_PREC-MM-P1D-P1D,,PE,MM,TOTAL_PREC,P1D,P1D,Total potential evaporation over the preceding day in millimetres
PE-TOTAL_PREC-MM-PT30M-PT30M,,PE,MM,TOTAL_PREC,PT30M,PT30M,Total potential evaporation over the preceding 30 minutes in millimetres
PERM_10-INST-UNITLESS-PT30M-PT30M,,PERM_10,UNITLESS,INST,PT30M,PT30M,Instantaneous relative permittivity at 10 cm depth
PERM_15-INST-UNITLESS-PT30M-PT30M,,PERM_15,UNITLESS,INST,PT30M,PT30M,Instantaneous relative permittivity at 15 cm depth
PERM_25-INST-UNITLESS-PT30M-PT30M,,PERM_25,UNITLESS,INST,PT30M,PT30M,Instantaneous relative permittivity at 25 cm depth
PERM_5-INST-UNITLESS-PT30M-PT30M,,PERM_5,UNITLESS,INST,PT30M,PT30M,Instantaneous relative permittivity at 5 cm depth
PERM_50-INST-UNITLESS-PT30M-PT30M,,PERM_50,UNITLESS,INST,PT30M,PT30M,Instantaneous relative permittivity at 50 cm depth
PRECIP-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP,MM,TOTAL_PREC,PT1M,PT1M,Total precipitation over the preceding minute in millimetres
PRECIP-TOTAL_PREC-MM-PT30M-PT30M,,PRECIP,MM,TOTAL_PREC,PT30M,PT30M,Total precipitation over the preceding 30 minutes in millimetres
PRECIP-TOTAL_PREC-MM-P1D-P1D,,PRECIP,MM,TOTAL_PREC,P1D,P1D,Total precipitation over the preceding day in millimetres
PRECIP_TOT-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_TOT,MM,TOTAL_PREC,PT1M,PT1M,Accumulated total precipitation in millimetres
PRECIP_NRT-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_NRT,MM,TOTAL_PREC,PT1M,PT1M,Total precipitation (non-real-time) over the preceding minute in millimetres
PRECIP_RT_NRT-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_RT_NRT,MM,TOTAL_PREC,PT1M,PT1M,Total precipitation (real-time and non-real-time) over the preceding minute in millimetres
PRECIP_NRT_TOT-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_NRT_TOT,MM,TOTAL_PREC,PT1M,PT1M,Accumulated total precipitation (non-real-time) over the preceding minute in millimetres
PRECIP_INTEN-MEAN_PREC-MM_M-1-PT1M-PT1M,,PRECIP_INTEN,MM_M-1,MEAN_PREC,PT1M,PT1M,Precipitation intensity over the preceding minute in millimetres per minute
PRECIP_INTEN-MEAN_PREC-MM_HR-1-PT1M-PT1M,,PRECIP_INTEN,MM_HR-1,MEAN_PREC,PT1M,PT1M,Precipitation intensity over the preceding minute in millimetres per hour
PRECIP_INTEN_RT-MEAN_PREC-MM_M-1-PT1M-PT1M,,PRECIP_INTEN_RT,MM_M-1,MEAN_PREC,PT1M,PT1M,Precipitation intensity (real-time) over the preceding minute in millimetres per minute
PRECIP_INTEN_LR-MEAN_PREC-MM_M-1-PT1M-PT1M,,PRECIP_INTEN_LR,MM_M-1,MEAN_PREC,PT1M,PT1M,Precipitation intensity since last request in millimetres per minute
PRECIP_INTEN_LR-MEAN_PREC-MM_HR-1-PT1M-PT1M,,PRECIP_INTEN_LR,MM_HR-1,MEAN_PREC,PT1M,PT1M,Precipitation intensity since last request in millimetres per hour
PRECIP_TIP_A-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_TIP_A,MM,TOTAL_PREC,PT1M,PT1M,Total precipitation from tip A over the preceding minute in millimetres
PRECIP_TIP_B-TOTAL_PREC-MM-PT1M-PT1M,,PRECIP_TIP_B,MM,TOTAL_PREC,PT1M,PT1M,Total precipitation from tip B over the preceding minute in millimetres
PRECIP_TIP_A-TOTAL_PREC-MM-PT30M-PT30M,,PRECIP_TIP_A,MM,TOTAL_PREC,PT30M,PT30M,Total precipitation from tip A over the preceding 30 minutes in millimetres
PRECIP_TIP_B-TOTAL_PREC-MM-PT30M-PT30M,,PRECIP_TIP_B,MM,TOTAL_PREC,PT30M,PT30M,Total precipitation from tip B over the preceding 30 minutes in millimetres
Q-MEAN_PREC-GM-3-P1D-P1D,,Q,GM-3,MEAN_PREC,P1D,P1D,Mean absolute humidity over the preceding day in grams per cubic metre
Q-MEAN_PREC-GM-3-PT1H-PT1H,,Q,GM-3,MEAN_PREC,PT1H,PT1H,Mean absolute humidity over the preceding hour in grams per cubic metre
Q-MEAN_PREC-GM-3-PT30M-PT30M,,Q,GM-3,MEAN_PREC,PT30M,PT30M,Mean absolute humidity over the preceding 30 minutes in grams per cubic metre
Q_STD-STDDEV_PREC-GM-3-PT30M-PT30M,,Q_STD,GM-3,STDDEV_PREC,PT30M,PT30M,Standard deviation of absolute humidity over the preceding 30 minutes in grams per cubic metre
RH-MEAN_PREC-PCT-P1D-P1D,,RH,PCT,MEAN_PREC,P1D,P1D,Mean relative humidity over the preceding day in percent
RH-MEAN_PREC-PCT-PT30M-PT30M,,RH,PCT,MEAN_PREC,PT30M,PT30M,Mean relative humidity over the preceding 30 minutes in percent
RH-STDDEV_PREC-PCT-PT30M-PT30M,,RH_STD,PCT,STDDEV_PREC,PT30M,PT30M,Standard deviation of relative humidity over the preceding 30 minutes in percent
RH_SENSOR_INT-INST-PCT-PT30M-PT30M,,RH_SENSOR_INT,PCT,INST,PT30M,PT30M,Instantaneous internal sensor relative humidity at 30 minutes in percent
RH_SENSOR_INT-MEAN_PREC-PCT-PT30M-PT30M,,RH_SENSOR_INT,PCT,MEAN_PREC,PT30M,PT30M,Mean internal sensor relative humidity over the preceding 30 minutes in percent
RN-MEAN_PREC-WM-2-PT30M-PT30M,,RN,WM-2,MEAN_PREC,PT30M,PT30M,Mean net radiation over preceding 30 minutes in watts per metre squared
RN-TOTAL_PREC-MJM-2-D-P1D-P1D,,RN,MJM-2-D,TOTAL_PREC,P1D,P1D,Total net radiation over the preceding day in megajoules per metre squared
SAMPLES_COUNT-TOTAL_PREC-UNITLESS-PT30M-PT30M,,SAMPLES_COUNT,UNITLESS,TOTAL_PREC,PT30M,PT30M,Total number of samples over the preceding 30 minutes (unitless)
SMI-MEAN_PREC-UNITLESS-P1D-P1D,,SMI,UNITLESS,MEAN_PREC,P1D,P1D,Soil moisture index over the preceding day (unitless)
SNOWD_DISTANCE_COR-INST-M-PT30M-PT30M,,SNOWD_DISTANCE_COR,M,INST,PT30M,PT30M,Instantaneous snow depth in metres (corrected)
SNOWD_DISTANCE_COR-MEAN_PREC-M-P1D-P1D,,SNOWD_DISTANCE_COR,M,MEAN_PREC,P1D,P1D,Mean snow depth over the preceding day in metres (corrected)
SNOWD_DISTANCE_UNC-INST-M-PT30M-PT30M,,SNOWD_DISTANCE_UNC,M,INST,PT30M,PT30M,Instantaneous snow depth in metres (uncorrected)
SNOWD_SIGNALQUALITY-STDDEV_PREC-UNITLESS-PT30M-PT30M,,SNOWD_SIGNALQUALITY,UNITLESS,STDDEV_PREC,PT30M,PT30M,Standard deviation of snow depth signal quality over the preceding 30 minutes (uncorrected)
SNOW_DAY-INST-UNITLESS-P1D-P1D,,SNOW_DAY,UNITLESS,INST,P1D,P1D,Indicator of snow day over the preceding day (unitless)
SENSOR_STATUS-INST-UNITLESS-PT1M-PT1M,,SENSOR_STATUS,UNITLESS,INST,PT1M,PT1M,Instantaneous status of sensor
SOLAR_ZENITH-MEAN_PREC-RADIANS-PT30M-PT30M,,SOLAR_ZENITH,RADIANS,MEAN_PREC,PT30M,PT30M,Mean solar zenith angle over the preceding 30 minutes in degrees
STATUS_P_HEATING-INST-MM-PT1M-PT1M,,STATUS_P_HEATING,MM,INST,PT1M,PT1M,Instantaneous status of precipitation heating element in millimetres
SWE-MEAN_MID_24HOUR-MM-P1D-P1D,,SWE,MM,MEAN_MID_24HOUR,P1D,P1D,Mean snow water equivalent over the preceding day in millimetres
SWE-MEAN_PREC-MM-PT1H-PT1H,,SWE,MM,MEAN_PREC,PT1H,PT1H,Mean snow water equivalent over the preceding hour in millimetres
SWIN-MEAN_PREC-WM-2-PT30M-PT30M,,SWIN,WM-2,MEAN_PREC,PT30M,PT30M,Mean incoming shortwave radiation over preceding 30 minutes in watts per metre squared
SWIN-STDDEV_PREC-WM-2-PT30M-PT30M,,SWIN_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of incoming shortwave radiation over preceding 30 minutes in watts per metre squared
SWIN-TOTAL_PREC-MJM-2-D-P1D-P1D,,SWIN,MJM-2-D,TOTAL_PREC,P1D,P1D,Total incoming shortwave radiation over preceding day in megajoules per metre squared
SWIN_MULT-INST-UNITLESS-PT30M-PT30M,,SWIN_MULT,UNITLESS,INST,PT30M,PT30M,Instantaneous incoming shortwave radiation calibration factor (unitless)
SWOUT-MEAN_PREC-WM-2-PT30M-PT30M,,SWOUT,WM-2,MEAN_PREC,PT30M,PT30M,Mean outgoing shortwave radiation over preceding 30 minutes in watts per metre squared
SWOUT-STDDEV_PREC-WM-2-PT30M-PT30M,,SWOUT_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of outgoing shortwave radiation over preceding 30 minutes in watts per metre squared
SWOUT-TOTAL_PREC-MJM-2-D-P1D-P1D,,SWOUT,MJM-2-D,TOTAL_PREC,P1D,P1D,Total outgoing shortwave radiation over preceding day in megajoules per metre squared
SWOUT_MULT-INST-UNITLESS-PT30M-PT30M,,SWOUT_MULT,UNITLESS,INST,PT30M,PT30M,Instantaneous outgoing shortwave radiation calibration factor (unitless)
TBR_TIP-INST-MM-PT30M-PT30M,,TBR_TIP,MM,INST,PT30M,PT30M,Instantaneous tipping bucket rain gauge tip amount in millimetres
TEMP_AIR-MAX_PREC-DEGC-PT30M-P1D,,TEMP_AIR,DEGC,MAX_PREC,P1D,PT30M,Maximum air temperature over the preceding day in degrees Celsius
TEMP_AIR-MEAN_PREC-DEGC-P1D-P1D,,TEMP_AIR,DEGC,MEAN_PREC,P1D,P1D,Mean air temperature over the preceding day in degrees Celsius
