ID,PARENT_ID,PARAMETER_ID,UNIT_ID,STATISTIC_ID,PERIODICITY,RESOLUTION,DESCRIPTION
UY_STD-STDDEV_PREC-MS-1-PT30M-PT30M,,UY_STD,MS-1,STDDEV_PREC,PT30M,PT30M,Standard deviation of Y component of wind speed in meters per second
UZ_STD-STDDEV_PREC-MS-1-PT30M-PT30M,,UZ_STD,MS-1,STDDEV_PREC,PT30M,PT30M,Standard deviation of Z component of wind speed in meters per second
VAPOUR_P-INST-KPA-PT30M-PT30M,,VAPOUR_P,KPA,INST,PT30M,PT30M,Instantaneous saturated water vapour pressure in kilopascals
VOLTAGE_BATT-MEAN_PREC-V-PT30M-PT30M,,VOLTAGE_BATT,V,MEAN_PREC,PT30M,PT30M,Mean battery voltage over the preceding 30 minutes in volts
VWC_CRNS-MEAN_PREC-PCT-P1D-P1D,,VWC_CRNS,PCT,MEAN_PREC,P1D,P1D,Mean volumetric water content from CRNS tube over the preceding day in percent
VWC_CRNS-MEAN_PREC-PCT-PT1H-PT1H,,VWC_CRNS,PCT,MEAN_PREC,PT1H,PT1H,Mean volumetric water content from CRNS tube over the preceding hour in percent
VWC_CRNS_NO_SNOW-MEAN_PREC-PCT-P1D-P1D,,VWC_CRNS_NO_SNOW,PCT,MEAN_PREC,P1D,P1D,Mean volumetric water content from CRNS tube (with snow content removed) over the preceding day in percent
VWC_SOIL-INST-PCT-PT1M-PT1M,,VWC_SOIL,PCT,INST,PT1M,PT1M,Instantaneous soil volumetric water in percent
VWC_SOIL_10-INST-PCT-PT30M-PT30M,,VWC_SOIL_10,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 10 cm depth in percent
VWC_SOIL_10-MEAN_PREC-PCT-P1D-P1D,,VWC_SOIL_10,PCT,MEAN_PREC,P1D,P1D,Mean soil volumetric water content at 10 cm depth over the preceding day in percent
VWC_SOIL_15-INST-PCT-PT30M-PT30M,,VWC_SOIL_15,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 15 cm depth in percent
VWC_SOIL_15-MEAN_PREC-PCT-P1D-P1D,,VWC_SOIL_15,PCT,MEAN_PREC,P1D,P1D,Mean soil volumetric water content at 15 cm depth over the preceding day in percent
VWC_SOIL_25-INST-PCT-PT30M-PT30M,,VWC_SOIL_25,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 25 cm depth in percent
VWC_SOIL_25-MEAN_PREC-PCT-P1D-P1D,,VWC_SOIL_25,PCT,MEAN_PREC,P1D,P1D,Mean soil volumetric water content at 25 cm depth over the preceding day in percent
VWC_SOIL_40-INST-PCT-PT30M-PT30M,,VWC_SOIL_40,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 40 cm depth in percent
VWC_SOIL_5-INST-PCT-PT30M-PT30M,,VWC_SOIL_5,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 5 cm depth in percent
VWC_SOIL_5-MEAN_PREC-PCT-P1D-P1D,,VWC_SOIL_5,PCT,MEAN_PREC,P1D,P1D,Mean soil volumetric water content at 5 cm depth over the preceding day in percent
VWC_SOIL_50-INST-PCT-PT30M-PT30M,,VWC_SOIL_50,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 50 cm depth in percent
VWC_SOIL_50-MEAN_PREC-PCT-P1D-P1D,,VWC_SOIL_50,PCT,MEAN_PREC,P1D,P1D,Mean soil volumetric water content at 50 cm depth over the preceding day in percent
VWC_SOIL_65-INST-PCT-PT30M-PT30M,,VWC_SOIL_65,PCT,INST,PT30M,PT30M,Instantaneous soil volumetric water content at 65 cm depth in percent
WD-MEAN_PREC-DEG-P1D-P1D,,WD,DEG,MEAN_PREC,P1D,P1D,Mean wind direction over the preceding day in degrees
WD-MEAN_PREC-DEG-PT30M-PT30M,,WD,DEG,MEAN_PREC,PT30M,PT30M,Mean wind direction over the preceding 30 minutes in degrees
WD_STD-STDDEV_PREC-DEG-PT30M-PT30M,,WD_STD,DEG,STDDEV_PREC,PT30M,PT30M,Standard deviation of wind direction over the preceding 30 minutes in degrees
COV_TS_UX-INST-KMS-1-PT30M-PT30M,,COV_TS_UX,KMS-1,INST,PT30M,PT30M,Instantaneous covariance between sonic temperature and UX wind speed component in kelvin meters per second
COV_TS_UY-INST-KMS-1-PT30M-PT30M,,COV_TS_UY,KMS-1,INST,PT30M,PT30M,Instantaneous covariance between sonic temperature and UY wind speed component in kelvin meters per second
COV_TS_UZ-INST-KMS-1-PT30M-PT30M,,COV_TS_UZ,KMS-1,INST,PT30M,PT30M,Instantaneous covariance between sonic temperature and UZ wind speed component in kelvin meters per second
COV_UX_UY-INST-MS-1-PT30M-PT30M,,COV_UX_UY,MS-1,INST,PT30M,PT30M,Instantaneous covariance of wind speed component UX and UY in meters per second
COV_UX_UZ-INST-MS-1-PT30M-PT30M,,COV_UX_UZ,MS-1,INST,PT30M,PT30M,Instantaneous covariance of wind speed component UX and UZ in meters per second
COV_UY_UZ-INST-MS-1-PT30M-PT30M,,COV_UY_UZ,MS-1,INST,PT30M,PT30M,Instantaneous covariance of wind speed component UY and UZ in meters per second
WS_RES-INST-MS-1-PT30M-PT30M,,WS_RES,MS-1,INST,PT30M,PT30M,Instantaneous resultant wind speed over the in meters per second
WS-MEAN_PREC-MS-1-P1D-P1D,,WS,MS-1,MEAN_PREC,P1D,P1D,Mean wind speed over the preceding day in meters per second
WS-MEAN_PREC-MS-1-PT30M-PT30M,,WS,MS-1,MEAN_PREC,PT30M,PT30M,Mean wind speed over the preceding 30 minutes in meters per second
WS_STD-STDDEV_PREC-MS-1-PT30M-PT30M,,WS_STD,MS-1,STDDEV_PREC,PT30M,PT30M,Standard deviation of wind speed over the preceding 30 minutes in meters per second
