UNIT_ID,UNIT_NAME
CM,cm
CTS,Counts
CTS_MIN-1,Counts min-1
CTS-S-1,Counts s-1
DEG,Degrees
DEGC,Deg Celsius
DEGF,Deg Fahrenheit
DSM-1,dSm-1
GM-3,gm-3
HPA,hPa
KEL,Kelvin
KGM-1S-2,kgm-1s-2
KGM-3,kgm-3
KPA,kPa
KMS-1,K ms-1
LS-1,litres s-1
M,metres
M3S-1,m3 s-1
M3-M3,m3/m3
MJD,MJday-1
MJM-2-D,MJ m-2 day-1
MM,mm
MM_M-1,mm min-1
MM_HR-1,mm hr-1
MS-1,ms-1
MV,mV
M_SEC,mS
PCT,%
RADIANS,rad
REVS-1,Revolutions s-1
RPM,rpm
SAMPLES,Samples
SEC,Seconds
SM-1,Sm-1
UNITLESS,Unitless
V,V
WM-2,Wm-2
UMOLM-2S-1,µmol m-2 s-1
MMOLM-2S-1,mmol m-2 s-1
M2S-2,m2 s-2
