"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
65,,,"Edinburgh",,11/09/2025 00:00:00,122,"Loan",,0.00,0.00,0.00,,"Loaned to Andrew Black - Tweed CC",0.00,0.00,0.00,,,,,,
68,"Chess","Lowndes Park","Lowndes Park",,17/10/2025 00:00:00,66,"Loan",,0.00,0.00,0.00,"Yes",,0.00,0.00,0.00,,,,,,
69,,,"xx-UKCEH_Wallingford",,04/11/2024 00:00:00,66,,,0.00,0.00,0.00,,"Stored in Wallingford",0.00,0.00,0.00,,,,,,
70,,,"xx-UKCEH_Wallingford",,01/08/2025 00:00:00,1215,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
71,,,"Mill Farm, Chenies",,05/01/2026 00:00:00,688,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
72,,,"Mill Farm, Chenies",,05/01/2026 00:00:00,1472,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
73,,,,,08/12/2025 00:00:00,751,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
74,,,,,,110,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
75,"Wallingford","xx-UKCEH_Wallingford","xx-UKCEH_Wallingford",,10/02/2026 00:00:00,1543,"Test",,300.00,10.00,0.00,"Yes",,0.00,0.00,0.00,,"0",,,,
76,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1544,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
77,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1546,,,300.00,10.00,0.00,"Yes",,0.00,0.00,0.00,,"-15","8","12","225 degrees",
78,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1547,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
79,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,741,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
