PROCESSING_TYPE,CATEGORY,METHOD_ID,METHOD_NAME,METHOD_DESCRIPTION
CORRECTIONS,COSMOS Specific,LW_CORR,Long wave correction,Correction for long wave radiation where calibration values are incorrect
CORRECTIONS,COSMOS Specific,WD,Wind direction correction,Correction for wind direction orientation
CORRECTIONS,COSMOS Specific,PA_CORR,,Correction for pressure where adjust has been calculated from mean sea level pressure
CORRECTIONS,Generic,SCALAR,Scalar,Multiply the value by a scale factor. E.g. y=Cx
CORRECTIONS,Generic,ADD,Addition,Sum the data point and correction value. E.g. y=x+C
CORRECTIONS,Generic,POWER,Power,Raise the data point to a power. E.g. y=x^C
CORRECTIONS,Generic,CLIP,clip,Sets all values above or below a given threshold to the threshold value.
