"ID","asset_PM_ID","asset_SiteID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_Description","asset_Quantity","asset_Type","asset_Country_of_Origin","asset_Manufacturer","asset_Supplier","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Servicing_Requirement","asset_Comments","asset_Specialist_training_or_other_requirements","asset_Status","asset_Other_ID"
642,NA,24,"CR1000Xe","71178","","09191","22/04/2025 00:00:00","","20924-1","04/02/2025 00:00:00",NA,1668.55,"Simon Teagle","","Excellent","",0,"Logger",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
650,NA,24,"CS310 (SQ-500-SS) QUANTUM SENSOR C/W 5 METRE CABLE","5475","","09191","22/04/2025 00:00:00","","20924-1","04/02/2025 00:00:00",NA,365.5,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Apogee Instruments","","","","","","","","03/03/2025 00:00:00","",NA,"",NA,"","","","","","In test",NA
654,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68184","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
657,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68178","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
658,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68180","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
659,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68181","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
662,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68515","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
663,NA,24,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68516","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
686,NA,24,"DPS8100 BAROMETRIC PRESSURE SENSOR (500-1080mB) C/W RS232","13310998","DPS 813G-TB-A2-CC-H0-P12","09191","19/05/2025 00:00:00","","20924-4","04/02/2025 00:00:00",NA,1763.75,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","Serial no 13252759 faulty sensor returned to CSL; as a replacement sensor has been sent.",1,"Fixed","Finland","Druck","","DPS8100","","","","","","","",NA,"",NA,"","","","","","In test",NA
710,NA,24,"HMP155A TEMPERATURE & RELATIVE HUMIDITY PROBE C.W 3M cable","X1148396","","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,984.3,"Simon Teagle","","Excellent","",0,"",NA,NA,"Tring Grange Farm","",1,"Fixed","UK","Campbell Scientific","","HMP155A","","","","","","","",NA,"",NA,"","","","","","In test",NA
