FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
FA_SWE_AREAL_FLAG_DEF,FA_SWE_areal_CORRS_FLAG,fdri_correction_flag_scheme
FA_SWE_AREAL_FLAG_DEF,FA_SWE_areal_INFILL_FLAG,fdri_infill_flag_scheme
FA_SWE_AREAL_FLAG_DEF,FA_SWE_areal_QC_FLAG,fdri_quality_control_flag_scheme
FA_SWE_LOCAL_FLAG_DEF,FA_SWE_local_CORE_FLAG,core_flag_scheme
FA_SWE_LOCAL_FLAG_DEF,FA_SWE_local_CORRS_FLAG,fdri_correction_flag_scheme
FA_SWE_LOCAL_FLAG_DEF,FA_SWE_local_INFILL_FLAG,fdri_infill_flag_scheme
FA_SWE_LOCAL_FLAG_DEF,FA_SWE_local_QC_FLAG,fdri_quality_control_flag_scheme
FA_UG_MUONS_FLAG_DEF,FA_ug_muons_CORE_FLAG,core_flag_scheme
FA_UG_MUONS_FLAG_DEF,FA_ug_muons_CORRS_FLAG,fdri_correction_flag_scheme
FA_UG_MUONS_FLAG_DEF,FA_ug_muons_INFILL_FLAG,fdri_infill_flag_scheme
FA_UG_MUONS_FLAG_DEF,FA_ug_muons_QC_FLAG,fdri_quality_control_flag_scheme
FA_UG_NEUTRONS_FLAG_DEF,FA_ug_neutrons_CORE_FLAG,core_flag_scheme
FA_UG_NEUTRONS_FLAG_DEF,FA_ug_neutrons_CORRS_FLAG,fdri_correction_flag_scheme
FA_UG_NEUTRONS_FLAG_DEF,FA_ug_neutrons_INFILL_FLAG,fdri_infill_flag_scheme
FA_UG_NEUTRONS_FLAG_DEF,FA_ug_neutrons_QC_FLAG,fdri_quality_control_flag_scheme
G1_FLAG_DEF,G_PLATE_1_1_1_CORE_FLAG,core_flag_scheme
G1_FLAG_DEF,G_PLATE_1_1_1_CORRS_FLAG,fdri_correction_flag_scheme
G1_FLAG_DEF,G_PLATE_1_1_1_INFILL_FLAG,fdri_infill_flag_scheme
G1_FLAG_DEF,G_PLATE_1_1_1_QC_FLAG,fdri_quality_control_flag_scheme
G2_FLAG_DEF,G_PLATE_1_1_2_CORE_FLAG,core_flag_scheme
G2_FLAG_DEF,G_PLATE_1_1_2_CORRS_FLAG,fdri_correction_flag_scheme
G2_FLAG_DEF,G_PLATE_1_1_2_INFILL_FLAG,fdri_infill_flag_scheme
G2_FLAG_DEF,G_PLATE_1_1_2_QC_FLAG,fdri_quality_control_flag_scheme
HMP_DEWPOINT_FLAG_DEF,HMP_DewPoint_CORE_FLAG,core_flag_scheme
HMP_DEWPOINT_FLAG_DEF,HMP_DewPoint_CORRS_FLAG,fdri_correction_flag_scheme
HMP_DEWPOINT_FLAG_DEF,HMP_DewPoint_INFILL_FLAG,fdri_infill_flag_scheme
HMP_DEWPOINT_FLAG_DEF,HMP_DewPoint_QC_FLAG,fdri_quality_control_flag_scheme
