FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
CRNS_COUNT_FLAG_DEF,CRNS_COUNT_CORE_FLAG,core_flag_scheme
CRNS_COUNT_FLAG_DEF,CRNS_COUNT_QC_FLAG,nmdb_quality_control_flag_scheme
CRNS_COUNT_FLAG_DEF,CRNS_COUNT_INFILL_FLAG,nmdb_infill_flag_scheme
